City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,puerto natales,-51.7236,-72.4875,10.25,81,100,15.95,CL,1721590163
84,meadow lake,34.8014,-106.5436,28.3,49,37,1.08,US,1721590164
85,lockwood,45.8191,-108.4149,31.34,31,20,2.06,US,1721590165
86,stanley,54.868,-1.6985,16.27,72,60,2.82,GB,1721590166
87,oamaru,-45.0784,170.9801,7.99,68,86,8.29,NZ,1721590167
88,utrik,11.2278,169.8474,27.93,80,85,6.92,MH,1721590168
89,tura,25.5198,90.2201,25.19,93,100,2.94,IN,1721590170
90,taltal,-25.4,-70.4833,15.73,66,0,2.53,CL,1721590171
91,salida,37.7058,-121.0849,31.75,32,0,4.63,US,1721590172
92,saint-pierre,-21.3393,55.4781,20.82,60,0,3.09,RE,1721590173
93,cannonvale,-20.2833,148.7,17.66,59,0,6.55,AU,1721590174
94,fort st. john,56.2499,-120.8529,27.94,39,75,5.66,CA,1721589907
95,vozhega,60.4725,40.2213,15.61,71,0,3.03,RU,1721590176
96,fale old settlement,-9.3852,-171.2468,28.19,68,55,8.25,TK,1721590177
97,yuanping,38.7153,112.7575,22.82,72,72,1.01,CN,1721590178
98,hasaki,35.7333,140.8333,24.22,93,63,4.56,JP,1721590180
99,kyren,51.6828,102.1408,16.01,98,100,0.64,RU,1721590181
100,port mathurin,-19.6833,63.4167,22.75,70,8,6.25,MU,1721590182
101,jogeva,58.7467,26.3939,19.38,96,58,1.79,EE,1721590183
102,constantia,44.1833,28.65,26.38,71,90,3.36,RO,1721590184
103,lagunillas,10.1301,-71.2595,30.37,71,9,5.13,VE,1721590185
104,mount gambier,-37.8333,140.7667,11.73,96,66,4.48,AU,1721590186
105,margaret river,-33.95,115.0667,16.95,66,53,9.47,AU,1721590188
106,jamestown,42.097,-79.2353,26.77,50,0,2.57,US,1721590189
107,grossenhain,51.2833,13.55,25.21,72,100,2.33,DE,1721590190
108,lata,40.1629,-8.3327,24.4,56,0,2.3,PT,1721590192
109,east london,-33.0153,27.9116,15.02,57,99,1.63,ZA,1721590193
110,pathein,16.7833,94.7333,26.34,87,100,2.57,MM,1721590195
111,cancun,21.1743,-86.8466,30.96,79,40,3.6,MX,1721589617
112,tyukhtet,56.5389,89.3011,16.13,97,99,1.64,RU,1721590198
113,pudozh,61.8099,36.5345,14.86,66,6,2.43,RU,1721590199
114,voi,-3.3945,38.563,20.97,81,100,5.63,KE,1721590200
115,port sudan,19.6175,37.2164,34.53,40,100,1.11,SD,1721590201
116,san lorenzo,-25.3333,-57.5333,30.11,43,0,4.12,PY,1721590202
117,canchungo,12.0672,-16.0333,29.07,85,96,2.97,GW,1721590203
118,college,64.8569,-147.8028,21.36,60,0,0.45,US,1721590204
119,hamilton,39.1834,-84.5333,28.33,62,0,3.6,US,1721590206
120,wailua homesteads,22.0669,-159.378,26.53,77,20,5.66,US,1721590208
121,whangarei,-35.7317,174.3239,12.6,85,99,2.16,NZ,1721590209
122,parry sound,45.3501,-80.033,26.03,34,0,3.05,CA,1721590210
123,aspen,39.1911,-106.8175,25.47,25,0,5.66,US,1721589962
124,fort stockton,30.894,-102.8793,33.2,41,98,0.89,US,1721590212
125,saldanha,-33.0117,17.9442,9.03,72,22,5.51,ZA,1721590213
126,yuzhno-kurilsk,44.0306,145.8556,15.96,98,95,3.65,RU,1721590215
127,palmer,42.1584,-72.3287,30.29,46,75,3.09,US,1721590216
128,bilibino,68.0546,166.4372,10.94,87,100,2.03,RU,1721590217
129,trincomalee,8.5711,81.2335,27.49,78,83,9.28,LK,1721590218
130,puerto ayora,-0.7393,-90.3518,25.98,95,54,4.02,EC,1721590219
131,aasiaat,68.7098,-52.8699,4.09,93,100,2.31,GL,1721590222
132,taoudenni,22.6783,-3.9836,41.19,9,6,3.24,ML,1721590223
133,tiksi,71.6872,128.8694,4.41,88,100,1.97,RU,1721590224
134,colonia,50.9333,6.95,23.58,74,40,3.6,DE,1721589989
135,san antonio de pale,-1.4014,5.6325,23.55,74,0,2.28,GQ,1721590226
136,sao felix do xingu,-6.6447,-51.995,34.9,22,4,2.53,BR,1721590227
137,kununurra,-15.7667,128.7333,15.99,41,71,0.51,AU,1721590228
138,port isabel,26.0734,-97.2086,33.05,58,2,7.53,US,1721590229
139,tobelo,1.7284,128.0095,25.89,85,100,3.34,ID,1721590231
140,kerikeri,-35.2268,173.9474,12.87,84,75,3.87,NZ,1721590232
141,lebu,-37.6167,-73.65,10.42,62,5,2.59,CL,1721590233
142,lompoc,34.6391,-120.4579,24.77,82,100,5.66,US,1721590234
143,conde,-7.2597,-34.9075,26.7,69,40,7.72,BR,1721590235
144,arraial do cabo,-22.9661,-42.0278,22.98,64,0,3.6,BR,1721590236
145,susuman,62.7833,148.1667,11.99,93,100,0.74,RU,1721590237
146,dapchi,12.4904,11.4944,28.34,64,92,5.34,NG,1721590238
147,namibe,-15.1961,12.1522,17.83,82,97,1.02,AO,1721590240
148,cill airne,52.05,-9.5167,15.83,94,100,3.42,IE,1721590241
149,toliara,-23.35,43.6667,19.35,80,0,4.2,MG,1721590242
150,remire-montjoly,4.9167,-52.2667,27.02,83,0,1.03,GF,1721590243
151,sur,22.5667,59.5289,32.88,55,99,5.07,OM,1721590244
152,mahina,-17.5065,-149.489,24.87,50,0,1.54,PF,1721590245
153,albany,42.6001,-73.9662,29.14,56,94,0.89,US,1721590246
154,buka,40.8108,69.1986,25.49,27,0,3.12,UZ,1721590247
155,kantunilkin,21.0917,-87.45,36.29,37,81,2.39,MX,1721590249
156,atafu village,-8.5421,-172.5159,28.47,75,44,9.09,TK,1721590250
157,saint-philippe,-21.3585,55.7679,20.77,82,35,3.06,RE,1721590251
158,weno,7.4515,151.8468,27.97,89,100,2.06,FM,1721590252
159,kingston,17.997,-76.7936,33.53,70,20,8.75,JM,1721590162
160,santa isabel,-23.3156,-46.2214,24.42,55,0,1.71,BR,1721590254
161,vilyuchinsk,52.9306,158.4028,10.15,79,96,0.53,RU,1721590255
162,brookings,44.3114,-96.7984,27.88,60,40,3.6,US,1721590256
163,hobyo,5.3505,48.5268,24.43,86,95,12.05,SO,1721590258
164,howard springs,-12.497,131.047,20.95,51,5,2.67,AU,1721590259
165,afaahiti,-17.75,-149.2833,23.93,70,99,10.59,PF,1721590260
166,borzya,50.3833,116.5167,17.31,69,83,2.88,RU,1721590261
167,lorengau,-2.0226,147.2712,27.42,83,87,4.72,PG,1721590263
168,seybaplaya,19.65,-90.6667,31.7,70,100,2.85,MX,1721590266
169,saint-francois,46.4154,3.9054,20.69,78,0,5.14,FR,1721590267
170,tevriz,57.509,72.4042,10.84,91,86,2.12,RU,1721590268
171,keflavik,64.0049,-22.5624,10.95,81,75,10.8,IS,1721590269
172,waingapu,-9.6567,120.2641,22.82,84,56,3.58,ID,1721590271
173,bremen,53.0752,8.8078,22.12,95,20,2.06,DE,1721590272
174,lugovoye,42.9094,72.7178,22.28,44,0,1.64,KZ,1721590273
175,miramar,25.9873,-80.2323,34.01,71,0,4.63,US,1721590274
176,beloyarskiy,63.7119,66.6722,10.26,69,100,1.92,RU,1721590276
177,qorveh,35.1664,47.8045,22.58,26,0,2.98,IR,1721590277
178,punta arenas,-53.15,-70.9167,7.06,81,100,15.95,CL,1721590278
179,esikhaleni,-28.871,31.8996,17.27,85,86,0.67,ZA,1721590279
180,naze,28.3667,129.4833,25.51,82,16,3.0,JP,1721590280
181,vorgashor,67.5833,63.95,8.05,65,98,2.94,RU,1721590281
182,puerto baquerizo moreno,-0.9,-89.6,24.55,73,40,9.26,EC,1721590282
183,thakhek,17.4103,104.8307,24.04,98,100,0.31,LA,1721590284
184,koz'modem'yansk,56.3367,46.5711,16.8,96,95,4.81,RU,1721590285
185,sitangkai,4.6628,119.3928,28.84,80,100,5.81,PH,1721590286
186,daru,-9.0763,143.2092,24.56,83,100,7.02,PG,1721590287
187,berezovyy,51.6667,135.7,15.57,97,100,1.89,RU,1721590288
188,abra pampa,-22.7205,-65.697,16.21,11,3,10.46,AR,1721590289
189,fasa,28.9383,53.6482,29.58,17,0,1.03,IR,1721590290
190,salmon arm,50.6998,-119.3024,35.24,44,0,1.54,CA,1721590291
191,lihue,21.9789,-159.3672,26.87,79,20,5.66,US,1721590293
192,sarmiento,-45.5882,-69.07,12.8,53,40,15.12,AR,1721590294
193,bredasdorp,-34.5322,20.0403,6.94,86,0,1.06,ZA,1721590295
194,valparaiso,-33.0393,-71.6273,19.13,55,20,4.63,CL,1721590296
195,chauk,20.8833,94.8167,26.07,90,100,6.71,MM,1721590297
196,st. john's,47.5649,-52.7093,23.66,46,75,8.75,CA,1721590298
197,el granada,37.5027,-122.4694,24.54,73,97,1.34,US,1721590299
198,rongelap,11.1635,166.8941,28.25,81,22,7.22,MH,1721590300
199,alesund,62.4723,6.1549,18.33,93,75,7.2,NO,1721590302
200,megion,61.0296,76.1136,15.01,51,100,4.75,RU,1721590303
201,gaspar,-26.9314,-48.9589,23.04,75,19,0.66,BR,1721590304
202,ancud,-41.8697,-73.8203,9.7,80,23,1.09,CL,1721590305
203,mejit,10.2753,170.8646,28.1,79,100,6.56,MH,1721590306
204,quellon,-43.1167,-73.6167,10.8,77,10,0.87,CL,1721590307
205,timimoun,29.2639,0.231,43.21,9,0,3.09,DZ,1721590308
206,kalach,50.4258,41.0261,21.65,51,63,2.18,RU,1721590309
207,funafuti,-8.5243,179.1942,29.0,84,100,7.72,TV,1721590311
208,posse,-14.0931,-46.3694,27.67,28,5,3.72,BR,1721590312
209,komatipoort,-25.4332,31.9548,20.03,92,100,1.23,ZA,1721590313
210,santa cruz,-17.8,-63.1667,32.7,42,2,8.23,BO,1721590314
211,ust-nera,64.5667,143.2,13.71,87,100,1.41,RU,1721590315
212,ataq,14.5377,46.8319,30.16,50,100,3.14,YE,1721590316
213,kamyzyak,46.11,48.0736,23.99,73,0,1.0,RU,1721590317
214,panacan,9.2463,118.4082,26.63,76,100,1.64,PH,1721590319
215,vila franca do campo,37.7167,-25.4333,25.23,76,28,2.45,PT,1721590320
216,saint-joseph,-21.3667,55.6167,20.21,81,17,2.56,RE,1721590321
217,pasuquin,18.3328,120.6177,25.97,94,100,2.06,PH,1721590322
218,lhokseumawe,5.1801,97.1507,26.82,86,100,1.6,ID,1721590323
219,suwa,36.038,138.1131,21.08,96,18,1.5,JP,1721590324
220,flin flon,54.7682,-101.865,27.91,57,100,4.63,CA,1721590325
221,tsiombe,-25.3,45.4833,18.32,94,14,2.23,MG,1721590327
222,xacmaz,41.4635,48.806,23.72,55,0,3.51,AZ,1721590328
223,guiratinga,-16.3494,-53.7583,31.2,17,0,2.2,BR,1721590329
224,sydney mines,46.2367,-60.2177,27.36,62,75,5.66,CA,1721590330
225,as sulayyil,20.4607,45.5779,38.14,10,100,2.77,SA,1721590331
226,kayangel,8.0823,134.7173,28.12,76,100,4.88,PW,1721590332
227,monrovia,6.3005,-10.7969,24.87,86,100,5.46,LR,1721590333
228,badger,64.8,-147.5333,21.31,56,0,0.0,US,1721590334
229,cole harbour,44.6724,-63.4751,24.66,69,79,6.69,CA,1721590335
230,west bay,19.3667,-81.4167,32.04,66,20,4.12,KY,1721590337
231,kenai,60.5544,-151.2583,16.19,78,0,3.6,US,1721590338
232,laojunmiao,39.8333,97.7333,21.78,28,0,4.23,CN,1721590339
233,reggane,26.7158,0.1714,40.31,7,0,4.6,DZ,1721590340
234,dykan'ka,49.825,34.5279,22.59,35,100,3.39,UA,1721590341
235,nikol'sk,53.7189,46.0712,16.94,77,77,2.46,RU,1721590342
236,enewetak,11.3474,162.3373,28.28,80,98,7.37,MH,1721590343
237,kovel,51.2153,24.7087,17.84,77,98,1.91,UA,1721590345
238,marabba,12.35,32.1833,26.13,71,63,5.56,SD,1721590346
239,al ghayzah,16.2079,52.176,27.91,76,100,3.23,YE,1721590347
240,oban,56.4127,-5.4706,13.54,89,98,2.37,GB,1721590348
241,al 'aziziyah,32.9058,45.0616,37.28,15,0,3.36,IQ,1721590349
242,camara de lobos,32.6333,-16.9667,27.06,84,40,5.66,PT,1721590350
243,qingyuan,23.7,113.0333,27.99,81,100,1.22,CN,1721590351
244,nizhnesortymskiy,62.4397,71.7603,13.54,50,100,3.83,RU,1721590352
245,mary,37.0,62.5,29.99,18,0,3.63,TM,1721590354
246,sitka,57.0531,-135.33,16.94,77,100,3.09,US,1721590069
247,elazig,38.6743,39.2232,26.83,24,0,2.06,TR,1721590356
248,noumea,-22.2763,166.4572,19.44,99,34,2.76,NC,1721590357
249,rakops,-21.0167,24.3333,18.39,17,4,2.16,BW,1721590358
250,yeppoon,-23.1333,150.7333,7.36,56,0,2.28,AU,1721590359
251,richards bay,-28.783,32.0377,17.57,84,94,1.1,ZA,1721590360
252,canutama,-6.5339,-64.3831,37.81,17,33,1.67,BR,1721590361
253,selkirk,50.1436,-96.8845,28.93,69,4,0.45,CA,1721590362
254,sedziszow malopolski,50.0707,21.7006,21.94,69,69,2.33,PL,1721590364
255,stonehaven,56.9637,-2.2118,16.99,79,94,3.49,GB,1721590365
256,saudarkrokur,65.7461,-19.6394,6.81,97,100,3.13,IS,1721590366
257,usinsk,65.9939,57.5281,11.56,57,88,3.85,RU,1721590310
258,cambria,35.5641,-121.0808,33.21,57,30,6.49,US,1721590369
259,kapuskasing,49.4169,-82.4331,21.05,49,100,6.17,CA,1721590370
260,egilsstadir,65.2653,-14.3948,10.95,71,100,2.06,IS,1721590371
261,tabuk,17.4189,121.4443,23.75,95,100,0.42,PH,1721590373
262,port blair,11.6667,92.75,29.02,84,75,3.6,IN,1721590374
263,frederico westphalen,-27.3592,-53.3944,19.59,79,100,0.92,BR,1721590375
264,pointe michel,15.25,-61.3833,30.16,73,10,6.17,DM,1721590376
265,dudinka,69.4058,86.1778,4.14,81,4,4.91,RU,1721590377
266,jining,35.405,116.5814,26.94,95,83,7.23,CN,1721590378
267,kyzylorda,44.8528,65.5092,22.01,46,0,3.0,KZ,1721590379
268,parkes,-33.1333,148.1833,6.31,85,90,1.09,AU,1721590381
269,pucheng,27.9233,118.5333,21.91,97,24,0.34,CN,1721590382
270,bamboo flat,11.7,92.7167,29.05,84,75,3.6,IN,1721590384
271,new norfolk,-42.7826,147.0587,11.62,96,100,0.51,AU,1721590385
272,padang,-0.9492,100.3543,25.03,90,48,1.99,ID,1721590387
273,port lincoln,-34.7333,135.8667,12.69,90,91,6.48,AU,1721590389
274,belyy yar,53.6039,91.3903,17.94,100,75,4.0,RU,1721590390
275,iskateley,67.6803,53.1512,10.67,63,96,2.03,RU,1721590391
276,maceio,-9.6658,-35.7353,26.69,61,40,5.14,BR,1721590392
277,oruro,-17.9833,-67.15,16.27,34,20,5.14,BO,1721590393
278,sao vicente,-23.9631,-46.3919,26.19,62,75,2.68,BR,1721590394
279,mount pearl,47.5166,-52.7813,23.19,56,75,8.75,CA,1721590102
280,mermoz boabab,14.7065,-17.4758,29.31,70,20,5.14,SN,1721590396
281,eraan,9.0629,117.7016,26.15,84,100,3.76,PH,1721590399
282,korsakov,46.6328,142.7813,18.91,99,93,3.64,RU,1721590400
283,port shepstone,-30.7414,30.455,15.44,90,100,1.22,ZA,1721590401
284,galliano,29.4422,-90.2992,25.0,88,100,1.54,US,1721590402
285,palikir - national government center,6.9248,158.1611,24.41,100,40,0.0,FM,1721590403
286,humberto de campos,-2.5983,-43.4611,29.36,55,6,2.49,BR,1721590404
287,broome,42.2506,-75.833,29.15,48,40,1.54,US,1721590405
288,bandarbeyla,9.4942,50.8122,25.37,81,68,15.88,SO,1721590407
289,urazovo,50.0836,38.0395,22.11,44,39,3.14,RU,1721590408
290,mossel bay,-34.1831,22.146,10.8,73,0,1.02,ZA,1721590409
291,shaping,22.7545,112.9565,28.57,77,98,2.71,CN,1721590410
292,pauini,-7.7136,-66.9764,36.43,22,92,1.53,BR,1721590411
293,papao,-17.75,-149.55,24.82,68,87,11.5,PF,1721590412
294,badagry,6.4167,2.8833,24.13,86,29,4.13,NG,1721590413
295,nova sintra,14.8667,-24.7167,25.05,77,0,6.8,CV,1721590414
296,los alamos,35.8881,-106.307,23.87,44,0,2.06,US,1721590416
297,aricak,38.5639,40.1347,25.14,33,0,3.52,TR,1721590417
298,shahecheng,36.9383,114.5058,29.4,84,55,0.64,CN,1721590418
299,grand falls-windsor,48.9332,-55.6649,25.84,57,100,2.24,CA,1721590419
300,alice springs,-23.7,133.8833,-0.25,80,0,2.57,AU,1721590420
301,brazzaville,-4.2658,15.2832,25.17,64,12,2.57,CG,1721590421
302,pemalang,-6.9,109.3667,23.59,74,17,2.85,ID,1721590422
303,kerben,40.2951,72.1863,25.28,39,100,2.96,KG,1721590423
304,bel ombre,-4.6167,55.4167,25.91,89,40,5.66,SC,1721590425
305,tres isletas,-26.3407,-60.4321,26.78,41,0,2.71,AR,1721590426
306,petropavlovsk-kamchatsky,53.0452,158.6483,9.33,100,100,0.0,RU,1721590153
307,jinghong,21.991,100.7341,21.76,99,99,0.92,CN,1721590428
308,kavaratti,10.5669,72.642,27.26,89,100,5.36,IN,1721590429
309,kiunga,-6.1219,141.2906,21.99,99,100,0.76,PG,1721590430
310,haiku-pauwela,20.9219,-156.3051,28.43,62,20,5.36,US,1721590432
311,tolanaro,-25.0319,46.9987,19.04,94,20,0.0,MG,1721590433
312,thunder bay,48.4001,-89.3168,23.99,41,20,2.57,CA,1721590369
313,saint-leu,-21.15,55.2833,18.86,87,0,0.87,RE,1721590435
314,buta,2.7858,24.73,20.47,92,99,0.61,CD,1721590436
315,sodra sandby,56.5667,16.6167,19.38,89,13,2.06,SE,1721590439
316,chimore,-16.9833,-65.1333,31.38,34,8,1.89,BO,1721590440
317,sainte-rose,16.3324,-61.6979,31.02,62,75,7.2,GP,1721590441
318,grand-bassam,5.2118,-3.7388,23.98,89,8,3.94,CI,1721590442
319,i-n-salah,27.1935,2.4607,38.77,9,0,5.59,DZ,1721590443
320,la passe,45.5549,-0.8967,18.34,72,96,6.21,FR,1721590444
321,necochea,-38.5473,-58.7368,10.65,60,0,2.7,AR,1721590445
322,chibougamau,49.9168,-74.3659,14.79,67,100,6.17,CA,1721590446
323,vadakku valliyur,8.3833,77.65,25.5,73,98,2.13,IN,1721590448
324,amga,60.8953,131.9608,12.29,95,21,0.58,RU,1721590449
325,melekeok village,7.4957,134.6367,26.31,89,100,1.54,PW,1721590450
326,cowra,-33.8333,148.6833,8.58,77,100,1.91,AU,1721590451
327,radhakund,27.5333,77.4833,33.2,55,46,4.48,IN,1721590452
328,nar'yan-mar,67.6713,53.087,10.74,63,95,2.02,RU,1721590453
329,bodo,67.28,14.405,24.02,50,0,8.75,NO,1721590454
330,ugurludag,40.4463,34.4526,24.78,49,27,3.11,TR,1721590456
331,sola,-13.8833,167.55,26.69,81,2,8.25,VU,1721590457
332,sligo,54.2697,-8.4694,15.17,96,100,1.54,IE,1721590458
333,sandnessjoen,66.0217,12.6316,25.06,47,0,4.12,NO,1721590459
334,hadithah,34.1397,42.3781,35.9,22,0,6.33,IQ,1721590460
335,masterton,-40.9597,175.6575,8.94,96,100,1.89,NZ,1721590461
336,west mackay,-21.1481,149.1605,9.24,54,0,5.53,AU,1721590462
337,zaozersk,69.4005,32.4476,17.51,72,96,1.08,RU,1721590463
338,quzhou,28.9594,118.8686,25.01,81,30,0.93,CN,1721590465
339,makaha,21.4694,-158.2175,27.95,61,75,4.63,US,1721590466
340,trondheim,63.4305,10.3951,25.03,55,63,1.34,NO,1721590467
341,pangody,65.85,74.4859,8.47,64,0,3.49,RU,1721590468
342,lagoa,39.05,-27.9833,22.67,77,99,2.85,PT,1721590469
343,khandyga,62.6667,135.6,12.85,95,74,0.52,RU,1721590470
344,naama,33.2667,-0.3167,35.63,15,1,4.19,DZ,1721590471
345,priozersk,61.0393,30.1291,19.44,93,1,1.94,RU,1721590472
346,basco,20.4487,121.9702,29.73,79,100,7.83,PH,1721590474
347,fauske,67.2588,15.3918,24.02,58,18,3.92,NO,1721590475
348,shikarpur,27.9571,68.6379,34.94,56,100,5.64,PK,1721590476
349,pangai,-19.8,-174.35,24.06,83,20,4.63,TO,1721590477
350,nynashamn,58.9034,17.9479,17.87,96,50,2.83,SE,1721590478
351,nahrin,36.0649,69.1334,25.19,30,5,1.55,AF,1721590479
352,memmingen,47.9837,10.1853,20.99,88,75,5.66,DE,1721590480
353,yankton,42.8711,-97.3973,30.06,61,20,2.57,US,1721590482
354,fougamou,-1.2154,10.5838,24.81,60,14,0.92,GA,1721590483
355,dzhalagash,45.0833,64.6667,26.28,34,0,3.66,KZ,1721590484
356,srivardhan,18.0333,73.0167,26.86,87,100,7.77,IN,1721590485
357,carnarvon,-24.8667,113.6333,18.66,49,0,2.21,AU,1721590486
358,kargasok,59.0556,80.8572,13.14,87,100,3.25,RU,1721590488
359,al qaryatayn,34.2296,37.2407,26.27,43,0,4.07,SY,1721590489
360,holdrege,40.4403,-99.3698,26.81,62,75,2.57,US,1721590490
361,puerto lopez,4.0845,-72.956,27.39,78,96,3.08,CO,1721590491
362,mar del plata,-38.0023,-57.5575,11.64,73,95,3.13,AR,1721590492
363,mindelo,16.8901,-24.9804,28.75,54,20,8.75,CV,1721590493
364,chardara,41.2547,67.9692,27.29,32,0,3.52,KZ,1721590495
365,agua prieta,31.3,-109.5667,31.87,35,31,1.25,MX,1721590496
366,hami,42.8,93.45,30.57,24,47,8.6,CN,1721590497
